time,in,out
2019-07-12 11:48:25,0,0
2019-07-12 11:48:24,0,0
2019-07-12 11:48:23,0,0
2019-07-12 11:48:22,0,0
2019-07-12 11:48:21,0,0
2019-07-12 11:48:20,0,-2.019221
2019-07-12 11:48:19,0,-13.980779
2019-07-12 11:48:18,0,0
2019-07-12 11:48:17,0,-0.5047219
2019-07-12 11:48:16,0,-3.495278
2019-07-12 11:48:15,0,0
2019-07-12 11:48:14,0,0
2019-07-12 11:48:13,0,-2.993221
2019-07-12 11:48:12,0,-19.94873
2019-07-12 11:48:11,0,-17.05805
2019-07-12 11:48:10,0,0
2019-07-12 11:48:09,0,0
2019-07-12 11:48:08,0,0
2019-07-12 11:48:07,0,-1.1879805
2019-07-12 11:48:06,0,-6.812019
2019-07-12 11:48:05,0,0
2019-07-12 11:48:04,0,0
2019-07-12 11:48:03,0,-1.776745
2019-07-12 11:48:02,0,-10.223255
2019-07-12 11:48:01,0,0
2019-07-12 11:48:00,0,0
2019-07-12 11:47:59,0,0
2019-07-12 11:47:58,0,0
2019-07-12 11:47:57,0,0
2019-07-12 11:47:56,0,0
2019-07-12 11:47:55,0,0
2019-07-12 11:47:54,0,0
2019-07-12 11:47:53,0,0
2019-07-12 11:47:52,0,0
2019-07-12 11:47:51,0,0
2019-07-12 11:47:50,0,-2.349919
2019-07-12 11:47:49,0,-13.650081
2019-07-12 11:47:48,0,0
2019-07-12 11:47:47,0,0
2019-07-12 11:47:46,0,0
2019-07-12 11:47:45,0,0
2019-07-12 11:47:44,0,-1.852371
2019-07-12 11:47:43,0,-10.147629
2019-07-12 11:47:42,0,0
2019-07-12 11:47:41,0,0
2019-07-12 11:47:40,0,0
2019-07-12 11:47:39,0,0
2019-07-12 11:47:38,0,-5.629098
2019-07-12 11:47:37,0,-26.3709
2019-07-12 11:47:36,0,0
2019-07-12 11:47:35,0,0
2019-07-12 11:47:34,0,0
2019-07-12 11:47:33,0,-6.72131
2019-07-12 11:47:32,0,-33.27869
2019-07-12 11:47:31,0,0
2019-07-12 11:47:30,0,0
2019-07-12 11:47:29,0,0
2019-07-12 11:47:28,0,-1.3553555
2019-07-12 11:47:27,0,-10.875192
2019-07-12 11:47:26,0,-19.76945
2019-07-12 11:47:25,0,0
2019-07-12 11:47:24,0,0
2019-07-12 11:47:23,0,-5.477866
2019-07-12 11:47:22,0,-26.52213
2019-07-12 11:47:21,0,0
2019-07-12 11:47:20,0,-2.674713
2019-07-12 11:47:19,0,-13.325287
2019-07-12 11:47:18,0,0
2019-07-12 11:47:17,0,0
2019-07-12 11:47:16,0,0
2019-07-12 11:47:15,0,0
2019-07-12 11:47:14,0,0
2019-07-12 11:47:13,0,-2.273347
2019-07-12 11:47:12,0,-9.726653
2019-07-12 11:47:11,0,0
2019-07-12 11:47:10,0,0
2019-07-12 11:47:09,0,0
2019-07-12 11:47:08,0,0
2019-07-12 11:47:07,0,0
2019-07-12 11:47:06,0,0
2019-07-12 11:47:05,0,0
2019-07-12 11:47:04,0,0
2019-07-12 11:47:03,0,0
2019-07-12 11:47:02,0,0
2019-07-12 11:47:01,0,-2.324704
2019-07-12 11:47:00,0,-9.675296
2019-07-12 11:46:59,0,0
2019-07-12 11:46:58,0,0
2019-07-12 11:46:57,0,0
2019-07-12 11:46:56,0,0
2019-07-12 11:46:55,0,-3.79053
2019-07-12 11:46:54,0,-16.20947
2019-07-12 11:46:53,0,-4.651337
2019-07-12 11:46:52,0,-19.34866
2019-07-12 11:46:51,0,0
2019-07-12 11:46:50,0,-3.08363
2019-07-12 11:46:49,0,-12.91637
2019-07-12 11:46:48,0,0
2019-07-12 11:46:47,0,-0.7836766
2019-07-12 11:46:46,0,-3.216323
2019-07-12 11:46:45,0,0
2019-07-12 11:46:44,0,0
2019-07-12 11:46:43,0,0
2019-07-12 11:46:42,0,-3.346205
2019-07-12 11:46:41,0,-15.16939
2019-07-12 11:46:40,0,-9.484405
2019-07-12 11:46:39,0,0
2019-07-12 11:46:38,0,0
2019-07-12 11:46:37,0,0
2019-07-12 11:46:36,0,0
2019-07-12 11:46:35,0,0
2019-07-12 11:46:34,0,0
2019-07-12 11:46:33,0,0
2019-07-12 11:46:32,0,0
2019-07-12 11:46:31,0,-2.496332
2019-07-12 11:46:30,0,-9.503668
2019-07-12 11:46:29,0,0
2019-07-12 11:46:28,0,0
2019-07-12 11:46:27,0,0
2019-07-12 11:46:26,0,0
2019-07-12 11:46:25,0,0
2019-07-12 11:46:24,0,0
2019-07-12 11:46:23,0,0
2019-07-12 11:46:22,0,0
2019-07-12 11:46:21,0,0
2019-07-12 11:46:20,0,0
2019-07-12 11:46:19,0,0
2019-07-12 11:46:18,0,-5.028835
2019-07-12 11:46:17,0,-18.97116
2019-07-12 11:46:16,0,0
2019-07-12 11:46:15,0,0
2019-07-12 11:46:14,0,0
2019-07-12 11:46:13,0,0
2019-07-12 11:46:12,0,-2.761875
2019-07-12 11:46:11,0,-9.238125
2019-07-12 11:46:10,0,-2.806494
2019-07-12 11:46:09,0,-9.193506
2019-07-12 11:46:08,0,0
2019-07-12 11:46:07,0,-0.9250194
2019-07-12 11:46:06,0,-3.074981
2019-07-12 11:46:05,0,0
2019-07-12 11:46:04,0,-2.88973
2019-07-12 11:46:03,0,-9.11027
2019-07-12 11:46:02,0,0
2019-07-12 11:46:01,0,0
2019-07-12 11:46:00,0,0
2019-07-12 11:45:59,0,0
2019-07-12 11:45:58,0,0
2019-07-12 11:45:57,0,0
2019-07-12 11:45:56,0,0
2019-07-12 11:45:55,0,0
2019-07-12 11:45:54,0,0
2019-07-12 11:45:53,0,0
2019-07-12 11:45:52,0,0
2019-07-12 11:45:51,0,0
2019-07-12 11:45:50,0,-3.662444
2019-07-12 11:45:49,0,-12.337556
2019-07-12 11:45:48,0,0
2019-07-12 11:45:47,0,-0.9197733
2019-07-12 11:45:46,0,-3.080227
2019-07-12 11:45:45,0,0
2019-07-12 11:45:44,0,0
2019-07-12 11:45:43,0,-3.003791
2019-07-12 11:45:42,0,-8.996209
2019-07-12 11:45:41,0,0
2019-07-12 11:45:40,0,0
2019-07-12 11:45:39,0,0
2019-07-12 11:45:38,0,0
2019-07-12 11:45:37,0,0
2019-07-12 11:45:36,0,0
2019-07-12 11:45:35,0,0
2019-07-12 11:45:34,0,0
2019-07-12 11:45:33,0,-2.993762
2019-07-12 11:45:32,0,-10.009573
2019-07-12 11:45:31,0,-2.996665
2019-07-12 11:45:30,0,0
2019-07-12 11:45:29,0,0
2019-07-12 11:45:28,0,0
2019-07-12 11:45:27,0,-3.989918
2019-07-12 11:45:26,0,-12.010082
2019-07-12 11:45:25,0,0
2019-07-12 11:45:24,0,0
2019-07-12 11:45:23,0,0
2019-07-12 11:45:22,0,0
2019-07-12 11:45:21,0,0
2019-07-12 11:45:20,0,-3.991586
2019-07-12 11:45:19,0,-12.008414
2019-07-12 11:45:18,0,0
2019-07-12 11:45:17,0,0
2019-07-12 11:45:16,0,0
2019-07-12 11:45:15,0,0
2019-07-12 11:45:14,0,0
2019-07-12 11:45:13,0,-3.42348
2019-07-12 11:45:12,0,-8.57652
2019-07-12 11:45:11,0,0
2019-07-12 11:45:10,0,0
2019-07-12 11:45:09,0,0
2019-07-12 11:45:08,0,0
2019-07-12 11:45:07,0,0
2019-07-12 11:45:06,0,0
2019-07-12 11:45:05,0,0
2019-07-12 11:45:04,0,0
2019-07-12 11:45:03,0,-3.43983
2019-07-12 11:45:02,0,-8.56017
2019-07-12 11:45:01,0,0
2019-07-12 11:45:00,0,0
2019-07-12 11:44:59,0,0
2019-07-12 11:44:58,0,0
2019-07-12 11:44:57,0,-5.70142
2019-07-12 11:44:56,0,-14.29858
2019-07-12 11:44:55,0,0
2019-07-12 11:44:54,0,0
2019-07-12 11:44:53,0,0
2019-07-12 11:44:52,0,0
2019-07-12 11:44:51,0,-6.837516
2019-07-12 11:44:50,0,-21.73473
2019-07-12 11:44:49,0,-11.427751
2019-07-12 11:44:48,0,0
2019-07-12 11:44:47,0,0
2019-07-12 11:44:46,0,0
2019-07-12 11:44:45,0,0
2019-07-12 11:44:44,0,0
2019-07-12 11:44:43,0,-3.512986
2019-07-12 11:44:42,0,-8.487014
2019-07-12 11:44:41,0,-1.1656314
2019-07-12 11:44:40,0,-2.834369
2019-07-12 11:44:39,0,0
2019-07-12 11:44:38,0,0
2019-07-12 11:44:37,0,0
2019-07-12 11:44:36,0,0
2019-07-12 11:44:35,0,0
2019-07-12 11:44:34,0,0
2019-07-12 11:44:33,0,-4.719912
2019-07-12 11:44:32,0,-11.280088
2019-07-12 11:44:31,0,0
2019-07-12 11:44:30,0,0
2019-07-12 11:44:29,0,0
2019-07-12 11:44:28,0,0
2019-07-12 11:44:27,0,0
2019-07-12 11:44:26,0,0
2019-07-12 11:44:25,0,0
2019-07-12 11:44:24,0,0
2019-07-12 11:44:23,0,0
2019-07-12 11:44:22,0,0
2019-07-12 11:44:21,0,0
2019-07-12 11:44:20,0,-4.709853
2019-07-12 11:44:19,0,-11.290147
2019-07-12 11:44:18,0,0
2019-07-12 11:44:17,0,0
2019-07-12 11:44:16,0,-4.693683
2019-07-12 11:44:15,0,-11.306317
2019-07-12 11:44:14,0,0
2019-07-12 11:44:13,0,0
2019-07-12 11:44:12,0,-6.30833
2019-07-12 11:44:11,0,-13.69167
2019-07-12 11:44:10,0,0
2019-07-12 11:44:09,0,0
2019-07-12 11:44:08,0,0
2019-07-12 11:44:07,0,0
2019-07-12 11:44:06,0,-5.001195
2019-07-12 11:44:05,0,-10.998805
2019-07-12 11:44:04,0,0
2019-07-12 11:44:03,0,-3.763033
2019-07-12 11:44:02,0,-8.236967
2019-07-12 11:44:01,0,0
2019-07-12 11:44:00,0,0
2019-07-12 11:43:59,0,0
2019-07-12 11:43:58,0,0
2019-07-12 11:43:57,0,0
2019-07-12 11:43:56,0,0
2019-07-12 11:43:55,0,0
2019-07-12 11:43:54,0,0
2019-07-12 11:43:53,0,0
2019-07-12 11:43:52,0,0
2019-07-12 11:43:51,0,0
2019-07-12 11:43:50,0,-4.988799
2019-07-12 11:43:49,0,-11.011201
2019-07-12 11:43:48,0,0
2019-07-12 11:43:47,0,0
2019-07-12 11:43:46,0,0
2019-07-12 11:43:45,0,0
2019-07-12 11:43:44,0,0
2019-07-12 11:43:43,0,0
2019-07-12 11:43:42,0,0
2019-07-12 11:43:41,0,-6.67052
2019-07-12 11:43:40,0,-13.32948
2019-07-12 11:43:39,0,0
2019-07-12 11:43:38,0,0
2019-07-12 11:43:37,0,0
2019-07-12 11:43:36,0,0
2019-07-12 11:43:35,0,-17.80224
2019-07-12 11:43:34,0,-34.19776
2019-07-12 11:43:33,0,0
2019-07-12 11:43:32,0,0
2019-07-12 11:43:31,0,0
2019-07-12 11:43:30,0,-5.318149
2019-07-12 11:43:29,0,-14.733282
2019-07-12 11:43:28,0,-7.94857
2019-07-12 11:43:27,0,0
2019-07-12 11:43:26,0,0
2019-07-12 11:43:25,0,0
2019-07-12 11:43:24,0,0
2019-07-12 11:43:23,0,0
2019-07-12 11:43:22,0,0
2019-07-12 11:43:21,0,0
2019-07-12 11:43:20,0,-7.972467
2019-07-12 11:43:19,0,-16.027533
2019-07-12 11:43:18,0,0
2019-07-12 11:43:17,0,0
2019-07-12 11:43:16,0,0
2019-07-12 11:43:15,0,0
2019-07-12 11:43:14,0,0
2019-07-12 11:43:13,0,0
2019-07-12 11:43:12,0,-4.243124
2019-07-12 11:43:11,0,-7.756876
2019-07-12 11:43:10,0,0
2019-07-12 11:43:09,0,0
2019-07-12 11:43:08,0,0
2019-07-12 11:43:07,0,0
2019-07-12 11:43:06,0,0
2019-07-12 11:43:05,0,0
2019-07-12 11:43:04,0,0
2019-07-12 11:43:03,0,0
2019-07-12 11:43:02,0,-4.246125
2019-07-12 11:43:01,0,-7.753875
2019-07-12 11:43:00,0,0
2019-07-12 11:42:59,0,0
2019-07-12 11:42:58,0,0
2019-07-12 11:42:57,0,0
2019-07-12 11:42:56,0,0
2019-07-12 11:42:55,0,0
2019-07-12 11:42:54,0,0
2019-07-12 11:42:53,0,0
2019-07-12 11:42:52,0,0
2019-07-12 11:42:51,0,0
2019-07-12 11:42:50,0,-5.70596
2019-07-12 11:42:49,0,-10.29404
2019-07-12 11:42:48,0,0
2019-07-12 11:42:47,0,-2.850535
2019-07-12 11:42:46,0,-5.149465
2019-07-12 11:42:45,0,0
2019-07-12 11:42:44,0,0
2019-07-12 11:42:43,0,0
2019-07-12 11:42:42,0,0
2019-07-12 11:42:41,0,0
2019-07-12 11:42:40,0,0
2019-07-12 11:42:39,0,0
2019-07-12 11:42:38,0,0
2019-07-12 11:42:37,0,-5.975311
2019-07-12 11:42:36,0,-10.024689
2019-07-12 11:42:35,0,-4.480514
2019-07-12 11:42:34,0,-7.519486
2019-07-12 11:42:33,0,0
2019-07-12 11:42:32,0,0
2019-07-12 11:42:31,0,0
2019-07-12 11:42:30,0,0
2019-07-12 11:42:29,0,0
2019-07-12 11:42:28,0,0
2019-07-12 11:42:27,0,0
2019-07-12 11:42:26,0,0
2019-07-12 11:42:25,0,0
2019-07-12 11:42:24,0,0
2019-07-12 11:42:23,0,0
2019-07-12 11:42:22,0,0
2019-07-12 11:42:21,0,0
2019-07-12 11:42:20,0,-5.974904
2019-07-12 11:42:19,0,-10.025096
2019-07-12 11:42:18,0,0
2019-07-12 11:42:17,0,0
2019-07-12 11:42:16,0,0
2019-07-12 11:42:15,0,0
2019-07-12 11:42:14,0,0
2019-07-12 11:42:13,0,0
2019-07-12 11:42:12,0,0
2019-07-12 11:42:11,0,0
2019-07-12 11:42:10,0,0
2019-07-12 11:42:09,0,0
2019-07-12 11:42:08,0,0
2019-07-12 11:42:07,0,-7.866512
2019-07-12 11:42:06,0,-12.133488
2019-07-12 11:42:05,0,0
2019-07-12 11:42:04,0,-4.745398
2019-07-12 11:42:03,0,-7.254602
2019-07-12 11:42:02,0,0
2019-07-12 11:42:01,0,0
2019-07-12 11:42:00,0,0
2019-07-12 11:41:59,0,0
2019-07-12 11:41:58,0,0
2019-07-12 11:41:57,0,-4.744744
2019-07-12 11:41:56,0,-7.255256
2019-07-12 11:41:55,0,0
2019-07-12 11:41:54,0,0
2019-07-12 11:41:53,0,0
2019-07-12 11:41:52,0,0
2019-07-12 11:41:51,0,0
2019-07-12 11:41:50,0,0
2019-07-12 11:41:49,0,0
2019-07-12 11:41:48,0,0
2019-07-12 11:41:47,0,-6.280168
2019-07-12 11:41:46,0,-9.719832
2019-07-12 11:41:45,0,0
2019-07-12 11:41:44,0,-1.5902916
2019-07-12 11:41:43,0,-2.409708
2019-07-12 11:41:42,0,0
2019-07-12 11:41:41,0,0
2019-07-12 11:41:40,0,0
2019-07-12 11:41:39,0,0
2019-07-12 11:41:38,0,0
2019-07-12 11:41:37,0,-4.842066
2019-07-12 11:41:36,0,-7.157934
2019-07-12 11:41:35,0,0
2019-07-12 11:41:34,0,0
2019-07-12 11:41:33,0,0
2019-07-12 11:41:32,0,0
2019-07-12 11:41:31,0,0
2019-07-12 11:41:30,0,0
2019-07-12 11:41:29,0,-3.230735
2019-07-12 11:41:28,0,-4.769265
2019-07-12 11:41:27,0,-4.842068
2019-07-12 11:41:26,0,-7.157932
2019-07-12 11:41:25,0,0
2019-07-12 11:41:24,0,-1.6140297
2019-07-12 11:41:23,0,-2.38597
2019-07-12 11:41:22,0,0
2019-07-12 11:41:21,0,0
2019-07-12 11:41:20,0,0
2019-07-12 11:41:19,0,0
2019-07-12 11:41:18,0,0
2019-07-12 11:41:17,0,-6.468449
2019-07-12 11:41:16,0,-9.531551
2019-07-12 11:41:15,0,0
2019-07-12 11:41:14,0,0
2019-07-12 11:41:13,0,0
2019-07-12 11:41:12,0,0
2019-07-12 11:41:11,0,0
2019-07-12 11:41:10,0,0
2019-07-12 11:41:09,0,0
2019-07-12 11:41:08,0,0
2019-07-12 11:41:07,0,-4.741171
2019-07-12 11:41:06,0,-7.258829
2019-07-12 11:41:05,0,0
2019-07-12 11:41:04,0,0
2019-07-12 11:41:03,0,0
2019-07-12 11:41:02,0,0
2019-07-12 11:41:01,0,0
2019-07-12 11:41:00,0,0
2019-07-12 11:40:59,0,0
2019-07-12 11:40:58,0,0
2019-07-12 11:40:57,0,-4.752827
2019-07-12 11:40:56,0,-7.247173
2019-07-12 11:40:55,0,0
2019-07-12 11:40:54,0,-1.58556
2019-07-12 11:40:53,0,-2.41444
2019-07-12 11:40:52,0,0
2019-07-12 11:40:51,0,0
2019-07-12 11:40:50,0,0
2019-07-12 11:40:49,0,-6.368661
2019-07-12 11:40:48,0,-9.631339
2019-07-12 11:40:47,0,0
2019-07-12 11:40:46,0,0
2019-07-12 11:40:45,0,0
2019-07-12 11:40:44,0,-1.6237684
2019-07-12 11:40:43,0,-2.376232
2019-07-12 11:40:42,0,-5.00927
2019-07-12 11:40:41,0,-6.99073
2019-07-12 11:40:40,0,0
2019-07-12 11:40:39,0,0
2019-07-12 11:40:38,0,0
2019-07-12 11:40:37,0,0
2019-07-12 11:40:36,0,0
2019-07-12 11:40:35,0,0
2019-07-12 11:40:34,0,0
2019-07-12 11:40:33,0,0
2019-07-12 11:40:32,0,0
2019-07-12 11:40:31,0,0
2019-07-12 11:40:30,0,-5.050828
2019-07-12 11:40:29,0,-6.949172
2019-07-12 11:40:28,0,0
2019-07-12 11:40:27,0,0
2019-07-12 11:40:26,0,0
2019-07-12 11:40:25,0,0
2019-07-12 11:40:24,0,0
2019-07-12 11:40:23,0,0
2019-07-12 11:40:22,0,0
2019-07-12 11:40:21,0,0
2019-07-12 11:40:20,0,-6.666679
2019-07-12 11:40:19,0,-9.333321
2019-07-12 11:40:18,0,0
2019-07-12 11:40:17,0,0
2019-07-12 11:40:16,0,0
2019-07-12 11:40:15,0,0
2019-07-12 11:40:14,0,0
2019-07-12 11:40:13,0,0
2019-07-12 11:40:12,0,0
2019-07-12 11:40:11,0,0
2019-07-12 11:40:10,0,0
2019-07-12 11:40:09,0,0
2019-07-12 11:40:08,0,-8.777212
2019-07-12 11:40:07,0,-11.222788
2019-07-12 11:40:06,0,0
2019-07-12 11:40:05,0,0
2019-07-12 11:40:04,0,0
2019-07-12 11:40:03,0,-12.330823
2019-07-12 11:40:02,0,-15.669177
2019-07-12 11:40:01,0,0
2019-07-12 11:40:00,0,0
2019-07-12 11:39:59,0,0
2019-07-12 11:39:58,0,-12.259734
2019-07-12 11:39:57,0,-15.740266
2019-07-12 11:39:56,0,0
2019-07-12 11:39:55,0,0
2019-07-12 11:39:54,0,-5.250235
2019-07-12 11:39:53,0,-6.749765
2019-07-12 11:39:52,0,0
2019-07-12 11:39:51,0,0
2019-07-12 11:39:50,0,0
2019-07-12 11:39:49,0,0
2019-07-12 11:39:48,0,-1.754872
2019-07-12 11:39:47,0,-9.295679
2019-07-12 11:39:46,0,-8.949449
2019-07-12 11:39:45,0,0
2019-07-12 11:39:44,0,0
2019-07-12 11:39:43,0,0
2019-07-12 11:39:42,0,0
2019-07-12 11:39:41,0,0
2019-07-12 11:39:40,0,0
2019-07-12 11:39:39,0,0
2019-07-12 11:39:38,0,0
2019-07-12 11:39:37,0,-5.49899
2019-07-12 11:39:36,0,-6.50101
2019-07-12 11:39:35,0,0
2019-07-12 11:39:34,0,0
2019-07-12 11:39:33,0,0
2019-07-12 11:39:32,0,0
2019-07-12 11:39:31,0,0
2019-07-12 11:39:30,0,0
2019-07-12 11:39:29,0,0
2019-07-12 11:39:28,0,-9.22317
2019-07-12 11:39:27,0,-21.77562
2019-07-12 11:39:26,0,-13.001214
2019-07-12 11:39:25,0,0
2019-07-12 11:39:24,0,0
2019-07-12 11:39:23,0,-3.664547
2019-07-12 11:39:22,0,-4.335453
2019-07-12 11:39:21,0,0
2019-07-12 11:39:20,0,0
2019-07-12 11:39:19,0,0
2019-07-12 11:39:18,0,0
2019-07-12 11:39:17,0,-12.81335
2019-07-12 11:39:16,0,-15.18665
2019-07-12 11:39:15,0,0
2019-07-12 11:39:14,0,0
2019-07-12 11:39:13,0,-9.641468
2019-07-12 11:39:12,0,-10.358532
2019-07-12 11:39:11,0,0
2019-07-12 11:39:10,0,0
2019-07-12 11:39:09,0,0
2019-07-12 11:39:08,0,0
2019-07-12 11:39:07,0,-5.839302
2019-07-12 11:39:06,0,-6.160698
2019-07-12 11:39:05,0,0
2019-07-12 11:39:04,0,0
2019-07-12 11:39:03,0,0
2019-07-12 11:39:02,0,0
2019-07-12 11:39:01,0,0
2019-07-12 11:39:00,0,0
2019-07-12 11:38:59,0,0
2019-07-12 11:38:58,0,0
2019-07-12 11:38:57,0,0
2019-07-12 11:38:56,0,0
2019-07-12 11:38:55,0,0
2019-07-12 11:38:54,0,-5.789149
2019-07-12 11:38:53,0,-10.075529
2019-07-12 11:38:52,0,-4.135321
2019-07-12 11:38:51,0,0
2019-07-12 11:38:50,0,0
2019-07-12 11:38:49,0,0
2019-07-12 11:38:48,0,-1.929835
2019-07-12 11:38:47,0,-2.070165
2019-07-12 11:38:46,0,0
2019-07-12 11:38:45,0,-9.585038
2019-07-12 11:38:44,0,-10.414962
2019-07-12 11:38:43,0,-2.002097
2019-07-12 11:38:42,0,-1.997903
2019-07-12 11:38:41,0,0
2019-07-12 11:38:40,0,0
2019-07-12 11:38:39,0,0
2019-07-12 11:38:38,0,0
2019-07-12 11:38:37,0,0
2019-07-12 11:38:36,0,0
2019-07-12 11:38:35,0,-6.008298
2019-07-12 11:38:34,0,-5.991702
2019-07-12 11:38:33,0,0
2019-07-12 11:38:32,0,0
2019-07-12 11:38:31,0,0
