time,uptime
2019-07-12 11:48:25,1667.001
2019-07-12 11:48:24,1666.005
2019-07-12 11:48:23,1665
2019-07-12 11:48:22,1664.001
2019-07-12 11:48:21,1663.001
2019-07-12 11:48:20,1662
2019-07-12 11:48:19,1661
2019-07-12 11:48:18,1660.002
2019-07-12 11:48:17,1659
2019-07-12 11:48:16,1658.001
2019-07-12 11:48:15,1657
2019-07-12 11:48:14,1656.003
2019-07-12 11:48:13,1655.002
2019-07-12 11:48:12,1654.004
2019-07-12 11:48:11,1653.001
2019-07-12 11:48:10,1652.002
2019-07-12 11:48:09,1651.006
2019-07-12 11:48:08,1650
2019-07-12 11:48:07,1649.005
2019-07-12 11:48:06,1648.002
2019-07-12 11:48:05,1647.005
2019-07-12 11:48:04,1646.001
2019-07-12 11:48:03,1645.005
2019-07-12 11:48:02,1644.002
2019-07-12 11:48:01,1643.002
2019-07-12 11:48:00,1642.001
2019-07-12 11:47:59,1641
2019-07-12 11:47:58,1640.002
2019-07-12 11:47:57,1639
2019-07-12 11:47:56,1638.002
2019-07-12 11:47:55,1637.009
2019-07-12 11:47:54,1636.002
2019-07-12 11:47:53,1635.001
2019-07-12 11:47:52,1634.004
2019-07-12 11:47:51,1633
2019-07-12 11:47:50,1632.006
2019-07-12 11:47:49,1631.001
2019-07-12 11:47:48,1630.001
2019-07-12 11:47:47,1629.004
2019-07-12 11:47:46,1628.005
2019-07-12 11:47:45,1627
2019-07-12 11:47:44,1626.002
2019-07-12 11:47:43,1625.006
2019-07-12 11:47:42,1624
2019-07-12 11:47:41,1623.001
2019-07-12 11:47:40,1622.008
2019-07-12 11:47:39,1621.002
2019-07-12 11:47:38,1620.002
2019-07-12 11:47:37,1619.011
2019-07-12 11:47:36,1618.002
2019-07-12 11:47:35,1617.01
2019-07-12 11:47:34,1616.001
2019-07-12 11:47:33,1615
2019-07-12 11:47:32,1614.002
2019-07-12 11:47:31,1613.001
2019-07-12 11:47:30,1612.011
2019-07-12 11:47:29,1611.001
2019-07-12 11:47:28,1610.002
2019-07-12 11:47:27,1609.001
2019-07-12 11:47:26,1608.012
2019-07-12 11:47:25,1607.002
2019-07-12 11:47:24,1606.002
2019-07-12 11:47:23,1605.011
2019-07-12 11:47:22,1604.003
2019-07-12 11:47:21,1603.01
2019-07-12 11:47:20,1602
2019-07-12 11:47:19,1601
2019-07-12 11:47:18,1600.004
2019-07-12 11:47:17,1599
2019-07-12 11:47:16,1598.001
2019-07-12 11:47:15,1597.002
2019-07-12 11:47:14,1596
2019-07-12 11:47:13,1595.003
2019-07-12 11:47:12,1594.003
2019-07-12 11:47:11,1593
2019-07-12 11:47:10,1592.002
2019-07-12 11:47:09,1591.002
2019-07-12 11:47:08,1590
2019-07-12 11:47:07,1589.006
2019-07-12 11:47:06,1588.002
2019-07-12 11:47:05,1587.001
2019-07-12 11:47:04,1586.002
2019-07-12 11:47:03,1585.002
2019-07-12 11:47:02,1584.001
2019-07-12 11:47:01,1583.003
2019-07-12 11:47:00,1582.007
2019-07-12 11:46:59,1581.003
2019-07-12 11:46:58,1580.002
2019-07-12 11:46:57,1579.006
2019-07-12 11:46:56,1578.008
2019-07-12 11:46:55,1577.002
2019-07-12 11:46:54,1576.002
2019-07-12 11:46:53,1575.005
2019-07-12 11:46:52,1574.008
2019-07-12 11:46:51,1573.003
2019-07-12 11:46:50,1572
2019-07-12 11:46:49,1571.006
2019-07-12 11:46:48,1570.003
2019-07-12 11:46:47,1569.001
2019-07-12 11:46:46,1568.008
2019-07-12 11:46:45,1567.013
2019-07-12 11:46:44,1566.001
2019-07-12 11:46:43,1565.006
2019-07-12 11:46:42,1564.001
2019-07-12 11:46:41,1563.001
2019-07-12 11:46:40,1562.001
2019-07-12 11:46:39,1561.006
2019-07-12 11:46:38,1560.001
2019-07-12 11:46:37,1559
2019-07-12 11:46:36,1558.001
2019-07-12 11:46:35,1557.001
2019-07-12 11:46:34,1556.002
2019-07-12 11:46:33,1555
2019-07-12 11:46:32,1554
2019-07-12 11:46:31,1553.001
2019-07-12 11:46:30,1552
2019-07-12 11:46:29,1551
2019-07-12 11:46:28,1550.001
2019-07-12 11:46:27,1549.003
2019-07-12 11:46:26,1548.001
2019-07-12 11:46:25,1547.002
2019-07-12 11:46:24,1546.007
2019-07-12 11:46:23,1545.003
2019-07-12 11:46:22,1544.002
2019-07-12 11:46:21,1543.007
2019-07-12 11:46:20,1542
2019-07-12 11:46:19,1541.006
2019-07-12 11:46:18,1540.001
2019-07-12 11:46:17,1539.002
2019-07-12 11:46:16,1538.001
2019-07-12 11:46:15,1537.005
2019-07-12 11:46:14,1536.001
2019-07-12 11:46:13,1535.001
2019-07-12 11:46:12,1534
2019-07-12 11:46:11,1533.002
2019-07-12 11:46:10,1532.002
2019-07-12 11:46:09,1531.006
2019-07-12 11:46:08,1530.001
2019-07-12 11:46:07,1529.009
2019-07-12 11:46:06,1528.003
2019-07-12 11:46:05,1527.001
2019-07-12 11:46:04,1526.013
2019-07-12 11:46:03,1525.015
2019-07-12 11:46:02,1524.002
2019-07-12 11:46:01,1523.002
2019-07-12 11:46:00,1522.001
2019-07-12 11:45:59,1521.001
2019-07-12 11:45:58,1520.001
2019-07-12 11:45:57,1519.008
2019-07-12 11:45:56,1518.002
2019-07-12 11:45:55,1517.005
2019-07-12 11:45:54,1516.002
2019-07-12 11:45:53,1515.005
2019-07-12 11:45:52,1514.001
2019-07-12 11:45:51,1513.005
2019-07-12 11:45:50,1512.002
2019-07-12 11:45:49,1511
2019-07-12 11:45:48,1510.001
2019-07-12 11:45:47,1509
2019-07-12 11:45:46,1508.002
2019-07-12 11:45:45,1507.001
2019-07-12 11:45:44,1506.001
2019-07-12 11:45:43,1505.004
2019-07-12 11:45:42,1504.002
2019-07-12 11:45:41,1503
2019-07-12 11:45:40,1502.008
2019-07-12 11:45:39,1501.001
2019-07-12 11:45:38,1500.002
2019-07-12 11:45:37,1499.003
2019-07-12 11:45:36,1498.001
2019-07-12 11:45:35,1497
2019-07-12 11:45:34,1496.002
2019-07-12 11:45:33,1495.001
2019-07-12 11:45:32,1494.001
2019-07-12 11:45:31,1493
2019-07-12 11:45:30,1492.006
2019-07-12 11:45:29,1491.001
2019-07-12 11:45:28,1490.001
2019-07-12 11:45:27,1489.001
2019-07-12 11:45:26,1488
2019-07-12 11:45:25,1487
2019-07-12 11:45:24,1486.002
2019-07-12 11:45:23,1485.002
2019-07-12 11:45:22,1484.001
2019-07-12 11:45:21,1483
2019-07-12 11:45:20,1482.007
2019-07-12 11:45:19,1481
2019-07-12 11:45:18,1480.002
2019-07-12 11:45:17,1479.005
2019-07-12 11:45:16,1478.001
2019-07-12 11:45:15,1477.007
2019-07-12 11:45:14,1476.001
2019-07-12 11:45:13,1475.009
2019-07-12 11:45:12,1474.001
2019-07-12 11:45:11,1473
2019-07-12 11:45:10,1472.005
2019-07-12 11:45:09,1471.003
2019-07-12 11:45:08,1470
2019-07-12 11:45:07,1469.002
2019-07-12 11:45:06,1468.002
2019-07-12 11:45:05,1467
2019-07-12 11:45:04,1466.001
2019-07-12 11:45:03,1465.001
2019-07-12 11:45:02,1464.001
2019-07-12 11:45:01,1463.004
2019-07-12 11:45:00,1462.003
2019-07-12 11:44:59,1461
2019-07-12 11:44:58,1460.005
2019-07-12 11:44:57,1459
2019-07-12 11:44:56,1458
2019-07-12 11:44:55,1457.002
2019-07-12 11:44:54,1456.001
2019-07-12 11:44:53,1455.003
2019-07-12 11:44:52,1454.001
2019-07-12 11:44:51,1453.005
2019-07-12 11:44:50,1452
2019-07-12 11:44:49,1451.002
2019-07-12 11:44:48,1450.002
2019-07-12 11:44:47,1449.008
2019-07-12 11:44:46,1448.003
2019-07-12 11:44:45,1447.006
2019-07-12 11:44:44,1446
2019-07-12 11:44:43,1445.001
2019-07-12 11:44:42,1444.003
2019-07-12 11:44:41,1443
2019-07-12 11:44:40,1442.001
2019-07-12 11:44:39,1441
2019-07-12 11:44:38,1440.005
2019-07-12 11:44:37,1439.004
2019-07-12 11:44:36,1438.01
2019-07-12 11:44:35,1437.001
2019-07-12 11:44:34,1436.007
2019-07-12 11:44:33,1435.002
2019-07-12 11:44:32,1434.005
2019-07-12 11:44:31,1433.002
2019-07-12 11:44:30,1432.002
2019-07-12 11:44:29,1431.001
2019-07-12 11:44:28,1430.004
2019-07-12 11:44:27,1429.006
2019-07-12 11:44:26,1428.002
2019-07-12 11:44:25,1427.001
2019-07-12 11:44:24,1426.002
2019-07-12 11:44:23,1425.004
2019-07-12 11:44:22,1424.004
2019-07-12 11:44:21,1423.003
2019-07-12 11:44:20,1422.001
2019-07-12 11:44:19,1421.005
2019-07-12 11:44:18,1420.001
2019-07-12 11:44:17,1419
2019-07-12 11:44:16,1418.002
2019-07-12 11:44:15,1417.001
2019-07-12 11:44:14,1416.006
2019-07-12 11:44:13,1415.001
2019-07-12 11:44:12,1414.001
2019-07-12 11:44:11,1413.007
2019-07-12 11:44:10,1412
2019-07-12 11:44:09,1411.001
2019-07-12 11:44:08,1410.002
2019-07-12 11:44:07,1409.002
2019-07-12 11:44:06,1408.009
2019-07-12 11:44:05,1407.001
2019-07-12 11:44:04,1406.005
2019-07-12 11:44:03,1405
2019-07-12 11:44:02,1404.001
2019-07-12 11:44:01,1403.009
2019-07-12 11:44:00,1402
2019-07-12 11:43:59,1401.001
2019-07-12 11:43:58,1400
2019-07-12 11:43:57,1399.001
2019-07-12 11:43:56,1398.002
2019-07-12 11:43:55,1397.009
2019-07-12 11:43:54,1396.001
2019-07-12 11:43:53,1395.001
2019-07-12 11:43:52,1394.002
2019-07-12 11:43:51,1393
2019-07-12 11:43:50,1392
2019-07-12 11:43:49,1391.002
2019-07-12 11:43:48,1390
2019-07-12 11:43:47,1389
2019-07-12 11:43:46,1388
2019-07-12 11:43:45,1387.002
2019-07-12 11:43:44,1386.004
2019-07-12 11:43:43,1385.011
2019-07-12 11:43:42,1384
2019-07-12 11:43:41,1383.003
2019-07-12 11:43:40,1382.001
2019-07-12 11:43:39,1381.003
2019-07-12 11:43:38,1380.001
2019-07-12 11:43:37,1379.012
2019-07-12 11:43:36,1378
2019-07-12 11:43:35,1377.011
2019-07-12 11:43:34,1376.01
2019-07-12 11:43:33,1375.011
2019-07-12 11:43:32,1374.01
2019-07-12 11:43:31,1373.001
2019-07-12 11:43:30,1372.001
2019-07-12 11:43:29,1371
2019-07-12 11:43:28,1370.002
2019-07-12 11:43:27,1369.004
2019-07-12 11:43:26,1368.01
2019-07-12 11:43:25,1367.017
2019-07-12 11:43:24,1366.003
2019-07-12 11:43:23,1365.002
2019-07-12 11:43:22,1364.003
2019-07-12 11:43:21,1363
2019-07-12 11:43:20,1362
2019-07-12 11:43:19,1361
2019-07-12 11:43:18,1360.001
2019-07-12 11:43:17,1359.002
2019-07-12 11:43:16,1358
2019-07-12 11:43:15,1357.002
2019-07-12 11:43:14,1356.002
2019-07-12 11:43:13,1355
2019-07-12 11:43:12,1354.001
2019-07-12 11:43:11,1353
2019-07-12 11:43:10,1352.001
2019-07-12 11:43:09,1351.003
2019-07-12 11:43:08,1350
2019-07-12 11:43:07,1349.005
2019-07-12 11:43:06,1348.001
2019-07-12 11:43:05,1347.002
2019-07-12 11:43:04,1346.002
2019-07-12 11:43:03,1345.002
2019-07-12 11:43:02,1344.002
2019-07-12 11:43:01,1343
2019-07-12 11:43:00,1342.002
2019-07-12 11:42:59,1341.003
2019-07-12 11:42:58,1340.002
2019-07-12 11:42:57,1339.001
2019-07-12 11:42:56,1338.007
2019-07-12 11:42:55,1337.002
2019-07-12 11:42:54,1336.001
2019-07-12 11:42:53,1335.002
2019-07-12 11:42:52,1334.006
2019-07-12 11:42:51,1333
2019-07-12 11:42:50,1332
2019-07-12 11:42:49,1331.004
2019-07-12 11:42:48,1330.004
2019-07-12 11:42:47,1329.001
2019-07-12 11:42:46,1328.004
2019-07-12 11:42:45,1327.001
2019-07-12 11:42:44,1326
2019-07-12 11:42:43,1325.001
2019-07-12 11:42:42,1324.002
2019-07-12 11:42:41,1323.002
2019-07-12 11:42:40,1322.002
2019-07-12 11:42:39,1321.003
2019-07-12 11:42:38,1320.001
2019-07-12 11:42:37,1319.003
2019-07-12 11:42:36,1318.001
2019-07-12 11:42:35,1317.001
2019-07-12 11:42:34,1316.001
2019-07-12 11:42:33,1315
2019-07-12 11:42:32,1314
2019-07-12 11:42:31,1313.006
2019-07-12 11:42:30,1312.002
2019-07-12 11:42:29,1311.002
2019-07-12 11:42:28,1310.005
2019-07-12 11:42:27,1309.002
2019-07-12 11:42:26,1308.004
2019-07-12 11:42:25,1307.005
2019-07-12 11:42:24,1306.002
2019-07-12 11:42:23,1305.002
2019-07-12 11:42:22,1304.001
2019-07-12 11:42:21,1303
2019-07-12 11:42:20,1302.001
2019-07-12 11:42:19,1301.001
2019-07-12 11:42:18,1300
2019-07-12 11:42:17,1299.001
2019-07-12 11:42:16,1298.005
2019-07-12 11:42:15,1297.002
2019-07-12 11:42:14,1296.005
2019-07-12 11:42:13,1295.002
2019-07-12 11:42:12,1294.001
2019-07-12 11:42:11,1293.008
2019-07-12 11:42:10,1292.001
2019-07-12 11:42:09,1291.001
2019-07-12 11:42:08,1290.001
2019-07-12 11:42:07,1289.007
2019-07-12 11:42:06,1288.001
2019-07-12 11:42:05,1287.001
2019-07-12 11:42:04,1286.001
2019-07-12 11:42:03,1285.004
2019-07-12 11:42:02,1284.002
2019-07-12 11:42:01,1283.003
2019-07-12 11:42:00,1282.002
2019-07-12 11:41:59,1281.005
2019-07-12 11:41:58,1280
2019-07-12 11:41:57,1279.001
2019-07-12 11:41:56,1278.002
2019-07-12 11:41:55,1277.005
2019-07-12 11:41:54,1276.001
2019-07-12 11:41:53,1275.002
2019-07-12 11:41:52,1274
2019-07-12 11:41:51,1273
2019-07-12 11:41:50,1272.001
2019-07-12 11:41:49,1271.002
2019-07-12 11:41:48,1270.001
2019-07-12 11:41:47,1269.002
2019-07-12 11:41:46,1268
2019-07-12 11:41:45,1267.001
2019-07-12 11:41:44,1266.002
2019-07-12 11:41:43,1265.001
2019-07-12 11:41:42,1264.001
2019-07-12 11:41:41,1263
2019-07-12 11:41:40,1262.001
2019-07-12 11:41:39,1261.001
2019-07-12 11:41:38,1260.002
2019-07-12 11:41:37,1259.002
2019-07-12 11:41:36,1258.001
2019-07-12 11:41:35,1257.001
2019-07-12 11:41:34,1256
2019-07-12 11:41:33,1255.001
2019-07-12 11:41:32,1254.003
2019-07-12 11:41:31,1253.002
2019-07-12 11:41:30,1252.001
2019-07-12 11:41:29,1251.007
2019-07-12 11:41:28,1250
2019-07-12 11:41:27,1249.003
2019-07-12 11:41:26,1248.001
2019-07-12 11:41:25,1247.001
2019-07-12 11:41:24,1246.001
2019-07-12 11:41:23,1245
2019-07-12 11:41:22,1244.002
2019-07-12 11:41:21,1243
2019-07-12 11:41:20,1242.002
2019-07-12 11:41:19,1241
2019-07-12 11:41:18,1240.001
2019-07-12 11:41:17,1239.004
2019-07-12 11:41:16,1238.002
2019-07-12 11:41:15,1237.002
2019-07-12 11:41:14,1236.002
2019-07-12 11:41:13,1235.009
2019-07-12 11:41:12,1234
2019-07-12 11:41:11,1233.001
2019-07-12 11:41:10,1232.004
2019-07-12 11:41:09,1231.001
2019-07-12 11:41:08,1230.001
2019-07-12 11:41:07,1229
2019-07-12 11:41:06,1228.001
2019-07-12 11:41:05,1227
2019-07-12 11:41:04,1226
2019-07-12 11:41:03,1225.001
2019-07-12 11:41:02,1224.007
2019-07-12 11:41:01,1223.001
2019-07-12 11:41:00,1222.001
2019-07-12 11:40:59,1221.001
2019-07-12 11:40:58,1220.002
2019-07-12 11:40:57,1219.001
2019-07-12 11:40:56,1218.001
2019-07-12 11:40:55,1217.003
2019-07-12 11:40:54,1216.001
2019-07-12 11:40:53,1215.002
2019-07-12 11:40:52,1214.002
2019-07-12 11:40:51,1213.004
2019-07-12 11:40:50,1212
2019-07-12 11:40:49,1211.006
2019-07-12 11:40:48,1210.002
2019-07-12 11:40:47,1209.005
2019-07-12 11:40:46,1208.001
2019-07-12 11:40:45,1207.001
2019-07-12 11:40:44,1206.001
2019-07-12 11:40:43,1205.003
2019-07-12 11:40:42,1204.002
2019-07-12 11:40:41,1203.002
2019-07-12 11:40:40,1202.002
2019-07-12 11:40:39,1201.002
2019-07-12 11:40:38,1200
2019-07-12 11:40:37,1199.002
2019-07-12 11:40:36,1198.002
2019-07-12 11:40:35,1197.002
2019-07-12 11:40:34,1196.004
2019-07-12 11:40:33,1195
2019-07-12 11:40:32,1194.002
2019-07-12 11:40:31,1193.005
2019-07-12 11:40:30,1192
2019-07-12 11:40:29,1191.007
2019-07-12 11:40:28,1190.004
2019-07-12 11:40:27,1189.004
2019-07-12 11:40:26,1188.003
2019-07-12 11:40:25,1187.001
2019-07-12 11:40:24,1186.003
2019-07-12 11:40:23,1185.002
2019-07-12 11:40:22,1184
2019-07-12 11:40:21,1183.003
2019-07-12 11:40:20,1182.004
2019-07-12 11:40:19,1181
2019-07-12 11:40:18,1180.003
2019-07-12 11:40:17,1179.01
2019-07-12 11:40:16,1178.007
2019-07-12 11:40:15,1177.009
2019-07-12 11:40:14,1176.001
2019-07-12 11:40:13,1175.001
2019-07-12 11:40:12,1174.005
2019-07-12 11:40:11,1173.002
2019-07-12 11:40:10,1172
2019-07-12 11:40:09,1171.001
2019-07-12 11:40:08,1170
2019-07-12 11:40:07,1169.004
2019-07-12 11:40:06,1168
2019-07-12 11:40:05,1167
2019-07-12 11:40:04,1166.005
2019-07-12 11:40:03,1165.002
2019-07-12 11:40:02,1164.001
2019-07-12 11:40:01,1163.008
2019-07-12 11:40:00,1162.001
2019-07-12 11:39:59,1161.002
2019-07-12 11:39:58,1160.001
2019-07-12 11:39:57,1159.002
2019-07-12 11:39:56,1158.001
2019-07-12 11:39:55,1157.002
2019-07-12 11:39:54,1156.008
2019-07-12 11:39:53,1155.001
2019-07-12 11:39:52,1154.001
2019-07-12 11:39:51,1153
2019-07-12 11:39:50,1152
2019-07-12 11:39:49,1151.001
2019-07-12 11:39:48,1150.002
2019-07-12 11:39:47,1149.003
2019-07-12 11:39:46,1148.001
2019-07-12 11:39:45,1147.008
2019-07-12 11:39:44,1146
2019-07-12 11:39:43,1145.002
2019-07-12 11:39:42,1144.001
2019-07-12 11:39:41,1143.007
2019-07-12 11:39:40,1142.002
2019-07-12 11:39:39,1141.001
2019-07-12 11:39:38,1140
2019-07-12 11:39:37,1139.004
2019-07-12 11:39:36,1138.001
2019-07-12 11:39:35,1137
2019-07-12 11:39:34,1136
2019-07-12 11:39:33,1135
2019-07-12 11:39:32,1134
2019-07-12 11:39:31,1133.008
2019-07-12 11:39:30,1132.002
2019-07-12 11:39:29,1131
2019-07-12 11:39:28,1130.001
2019-07-12 11:39:27,1129.007
2019-07-12 11:39:26,1128
2019-07-12 11:39:25,1127.002
2019-07-12 11:39:24,1126.002
2019-07-12 11:39:23,1125.001
2019-07-12 11:39:22,1124
2019-07-12 11:39:21,1123.001
2019-07-12 11:39:20,1122.002
2019-07-12 11:39:19,1121.01
2019-07-12 11:39:18,1120.002
2019-07-12 11:39:17,1119.004
2019-07-12 11:39:16,1118.001
2019-07-12 11:39:15,1117
2019-07-12 11:39:14,1116.002
2019-07-12 11:39:13,1115
2019-07-12 11:39:12,1114
2019-07-12 11:39:11,1113.006
2019-07-12 11:39:10,1112.001
2019-07-12 11:39:09,1111.006
2019-07-12 11:39:08,1110.004
2019-07-12 11:39:07,1109.001
2019-07-12 11:39:06,1108.004
2019-07-12 11:39:05,1107.011
2019-07-12 11:39:04,1106
2019-07-12 11:39:03,1105.006
2019-07-12 11:39:02,1104
2019-07-12 11:39:01,1103.003
2019-07-12 11:39:00,1102.001
2019-07-12 11:38:59,1101
2019-07-12 11:38:58,1100.002
2019-07-12 11:38:57,1099
2019-07-12 11:38:56,1098
2019-07-12 11:38:55,1097.001
2019-07-12 11:38:54,1096.001
2019-07-12 11:38:53,1095
2019-07-12 11:38:52,1094.007
2019-07-12 11:38:51,1093.001
2019-07-12 11:38:50,1092.005
2019-07-12 11:38:49,1091.002
2019-07-12 11:38:48,1090.007
2019-07-12 11:38:47,1089.002
2019-07-12 11:38:46,1088.005
2019-07-12 11:38:45,1087.001
2019-07-12 11:38:44,1086
